@relation FuncionCuadratica

@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo1 numeric

@data
2.5,3.5,24072.384766
2.5,4,40813.210938
2.5,4.5,37441.792969
2.5,5,91953.78125
5,1,4348.231934
5,1.5,4409.163574
5,2,4210.211914
5,2.5,4188.589355
5,3,4348.043945
5,3.5,4379.179688
5,4,6806.766113
5,4.5,6543.881348
5,5,14540.957031
7.5,1,2248.222168
7.5,1.5,2239.832764
7.5,2,2141.931885
7.5,2.5,2163.926514
7.5,3,2277.844482
7.5,3.5,2277.876709
7.5,4,3336.439453
7.5,4.5,3572.863281
7.5,5,7095.569336
10,1,1047.278442
10,1.5,1038.809082
10,2,1055.704468
10,2.5,1061.569214
10,3,1132.216431
10,3.5,1138.402832
10,4,1648.551392
10,4.5,1566.134033
10,5,3437.223145
12.5,1,736.682617
12.5,1.5,736.101074
12.5,2,751.148926
12.5,2.5,764.03894
12.5,3,803.318848
12.5,3.5,804.133118
12.5,4,1173.408203
12.5,4.5,1154.317139
12.5,5,2021.713379
15,1,495.215302
15,1.5,499.43396
15,2,480.765381
15,2.5,492.177704
15,3,523.111511
15,3.5,530.156494
15,4,731.319885
15,4.5,743.643372
15,5,1266.990112
17.5,1,402.945679
17.5,1.5,399.747955
17.5,2,389.204193
17.5,2.5,396.516815
17.5,3,414.624512
17.5,3.5,423.845398
17.5,4,542.83136
17.5,4.5,586.753723
17.5,5,1106.548706
20,1,300.692932
20,1.5,301.603119
20,2,295.071411
20,2.5,287.385437
20,3,311.814697
20,3.5,312.182953
20,4,432.524628
20,4.5,400.740173
20,5,769.876648
22.5,1,252.258453
22.5,1.5,250.212402
22.5,2,246.397736
22.5,2.5,240.729599
22.5,3,258.176056
22.5,3.5,260.912018
22.5,4,319.982544
22.5,4.5,319.65979
22.5,5,554.159485
25,1,195.070938
25,1.5,197.948914
25,2,195.643921
25,2.5,193.454102
25,3,202.254974
25,3.5,204.882156
25,4,246.747131
25,4.5,254.147491
25,5,409.021637
27.5,1,198.485153
27.5,1.5,198.558777
27.5,2,197.932343
27.5,2.5,196.28215
27.5,3,203.688644
27.5,3.5,205.483887
27.5,4,268.837982
27.5,4.5,253.246033
27.5,5,400.085358
30,1,197.258209
30,1.5,197.062439
30,2,197.096359
30,2.5,196.306656
30,3,205.090042
30,3.5,204.428528
30,4,262.509247
30,4.5,256.913208
30,5,354.442535
